# Confirmed Parking Reservations
# Format: Name | Car Number | Period | Approval Time | Reservation ID

Test User Stage3 | TEST-123 | 2026-04-02T18:40:33Z to 2026-04-03T02:40:33Z | 2026-04-02 17:40:36 | Res#19
Tamerl M | ABC-1234 | 2026-04-01T18:00:00 to 2026-04-01T19:00:00 | 2026-04-14 12:06:38 | Res#20
Tima Li | GHT-1234 | 2024-04-17T15:00:00 to 2024-04-18T12:00:00 | 2026-04-14 17:33:29 | Res#23
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:09:43 | Res#50
Test User | TEST123 | 2026-05-14 09:00 to 2026-05-14 17:00 | 2026-05-13 11:10:34 | Res#51
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:11:23 | Res#52
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:12:14 | Res#53
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:13:10 | Res#54
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:15:37 | Res#55
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:16:24 | Res#56
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:17:12 | Res#57
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:19:40 | Res#58
Test User | TEST123 | 2026-05-14T09:00:00 to 2026-05-14T17:00:00 | 2026-05-13 11:24:09 | Res#59
Test User | TEST123 | 2026-05-14 09:00 to 2026-05-14 17:00 | 2026-05-13 11:41:46 | Res#61
